,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,277514,4538209,16.4,16.65,16.15,16.6,0.15,147
1,2024-03-04,359544,5897173,16.65,16.65,16.2,16.45,-0.15,185
2,2024-03-05,486408,7902693,16.4,16.45,16.15,16.45,0.0,245
3,2024-03-06,122922,2004343,16.45,16.45,16.2,16.4,-0.05,109
4,2024-03-07,240014,3900073,16.3,16.4,16.2,16.35,-0.05,150
5,2024-03-08,332415,5364805,16.2,16.35,16.05,16.35,0.0,182
6,2024-03-11,93077,1508798,16.2,16.5,16.1,16.5,0.15,89
7,2024-03-12,248560,4033077,16.4,16.4,16.1,16.3,-0.2,158
8,2024-03-13,492136,7897121,16.2,16.2,16.0,16.0,-0.3,253
9,2024-03-14,133876,2148048,16.0,16.15,15.95,16.1,0.1,105
10,2024-03-15,172651,2760393,16.05,16.05,15.9,16.0,-0.1,134
11,2024-03-18,135106,2154425,16.0,16.1,15.9,16.0,0.0,126
12,2024-03-19,123211,1963068,16.0,16.0,15.9,16.0,0.0,90
13,2024-03-20,139242,2226293,16.15,16.2,15.85,15.95,-0.05,89
14,2024-03-21,103110,1640296,16.0,16.0,15.9,15.9,-0.05,65
15,2024-03-22,232309,3750958,15.9,16.25,15.9,16.05,0.15,119
16,2024-03-25,68670,1099915,16.05,16.1,15.9,16.05,0.0,79
17,2024-03-26,205472,3293192,16.05,16.15,15.9,16.05,0.0,113
18,2024-03-27,160940,2584441,16.15,16.2,16.0,16.0,-0.05,87
19,2024-03-28,133209,2135299,16.0,16.1,15.95,16.05,0.05,87
20,2024-03-29,164010,2628860,16.05,16.1,15.95,16.1,0.05,67
21,2024-04-01,205140,3278845,16.0,16.1,15.95,16.05,-0.05,90
22,2024-04-02,147270,2355280,16.05,16.05,15.9,16.05,0.0,59
23,2024-04-03,121637,1939216,16.0,16.0,15.9,16.0,-0.05,81
24,2024-04-08,275408,4415648,16.0,16.15,16.0,16.05,0.05,77
25,2024-04-09,276353,4439494,16.05,16.15,16.0,16.1,0.05,100
26,2024-04-10,230539,3697935,16.1,16.1,16.0,16.05,-0.05,139
27,2024-04-11,159158,2557000,16.05,16.1,16.05,16.1,0.05,112
28,2024-04-12,1584984,26661530,16.1,17.15,16.1,17.0,0.9,691
29,2024-04-15,851645,14280359,16.9,17.05,16.55,16.65,-0.35,387
30,2024-04-16,501029,8191327,16.65,16.65,16.2,16.3,-0.35,217
31,2024-04-17,261577,4278700,16.35,16.45,16.2,16.35,0.05,123
32,2024-04-18,201642,3295026,16.35,16.45,16.2,16.4,0.05,139
33,2024-04-19,421188,6820634,16.35,16.45,16.05,16.15,-0.25,196
34,2024-04-22,271195,4372240,16.15,16.25,16.0,16.2,0.05,125
35,2024-04-23,112029,1815518,16.2,16.3,16.15,16.25,0.05,81
36,2024-04-24,283047,4554962,16.25,16.25,15.95,16.15,-0.1,128
37,2024-04-25,90195,1453253,16.2,16.2,16.05,16.15,0.0,67
38,2024-04-26,160665,2608621,16.3,16.4,16.1,16.4,0.25,77
39,2024-04-29,171450,2808853,16.5,16.55,16.25,16.45,0.05,101
40,2024-04-30,437967,7308993,16.35,16.9,16.35,16.8,0.35,219
41,2024-05-02,603532,10188071,16.8,17.0,16.7,16.9,0.1,236
42,2024-05-03,228603,3847732,16.9,16.95,16.75,16.8,-0.1,131
43,2024-05-06,188323,3167788,16.85,16.95,16.7,16.75,-0.05,90
44,2024-05-07,211147,3512825,16.75,16.85,16.5,16.5,-0.25,147
45,2024-05-08,154547,2540833,16.5,16.55,16.35,16.45,-0.05,76
46,2024-05-09,105011,1727126,16.25,16.55,16.25,16.45,0.0,68
47,2024-05-10,168018,2763633,16.5,16.5,16.35,16.5,0.05,87
48,2024-05-13,260432,4267832,16.5,16.55,16.2,16.55,0.05,151
49,2024-05-14,155611,2546371,16.55,16.55,16.3,16.35,-0.2,114
50,2024-05-15,245146,3991280,16.3,16.4,16.25,16.3,-0.05,127
51,2024-05-16,130553,2146007,16.6,16.6,16.35,16.35,0.05,74
52,2024-05-17,96992,1590032,16.35,16.5,16.35,16.45,0.1,69
53,2024-05-20,146212,2393965,16.45,16.45,16.2,16.35,-0.1,65
54,2024-05-21,237253,3897398,16.5,16.55,16.3,16.55,0.2,119
55,2024-05-22,183166,3023423,16.55,16.6,16.35,16.6,0.05,114
56,2024-05-23,126765,2088396,16.55,16.55,16.45,16.55,-0.05,78
57,2024-05-24,53162,874352,16.5,16.5,16.4,16.5,-0.05,47
58,2024-05-27,238307,3934011,16.4,16.6,16.4,16.55,0.05,117
59,2024-05-28,627046,10517034,16.5,16.95,16.45,16.85,0.3,258
60,2024-05-29,479230,8069546,16.8,16.95,16.6,16.95,0.1,245
61,2024-05-30,371709,6285029,16.85,17.0,16.85,16.95,0.0,191
62,2024-05-31,194907,3295089,16.9,16.95,16.85,16.95,0.0,141
63,2024-06-03,338615,5700263,16.85,16.95,16.7,16.9,-0.05,139
64,2024-06-04,268359,4478775,16.9,16.9,16.55,16.55,-0.35,146
65,2024-06-05,318880,5351556,16.55,16.95,16.55,16.95,0.4,156
66,2024-06-06,288757,4865792,17.0,17.0,16.7,16.75,-0.2,150
67,2024-06-07,147343,2471058,16.7,16.95,16.65,16.9,0.15,94
68,2024-06-11,521228,8861952,16.9,17.1,16.85,17.05,0.15,236
